audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
4,4,128,0.3,0.15,0.1,0.0005,0.0003,8,16,0.001,2.98309,0.9958128,0.60578,0.31341,0.7463556851311953,0.7448137610119396
4,4,128,0.3,0.15,0.1,0.0005,0.0003,8,16,0.001,2.9142194,0.9728224,0.64578,0.31341,0.7682215743440233,0.7680295342510589
4,4,128,0.3,0.15,0.1,0.0005,0.0003,8,16,0.001,2.8194916,0.94120055,0.65589,0.34402,0.749271137026239,0.7461053963123161
4,4,128,0.3,0.15,0.1,0.0005,0.0003,8,16,0.001,2.8732831,0.95915717,0.65085,0.30321,0.7580174927113703,0.7533587540618673
16,8,64,0.0,0.5,0.0,0.001,0.001,16,4,0.001,2.8886335,0.96428144,0.64741,0.32945,0.7434402332361516,0.7427733550859278
16,8,64,0.0,0.5,0.0,0.001,0.001,16,4,0.001,2.901688,0.9686393,0.6538,0.34111,0.7594752186588921,0.7598209046096924
16,8,64,0.0,0.5,0.0,0.001,0.001,16,4,0.001,2.8849623,0.9630559,0.64836,0.3207,0.7580174927113703,0.7564084545874933
16,8,64,0.0,0.5,0.0,0.001,0.001,16,4,0.001,2.8319962,0.9453748,0.66315,0.33528,0.7711370262390671,0.7689751194944027
16,16,256,0.5,0.5,0.15,0.0005,0.001,1,128,0.002,2.9052186,0.9698179,0.64337,0.32216,0.7682215743440233,0.7648465634752627
16,16,256,0.5,0.5,0.15,0.0005,0.001,1,128,0.002,2.8487806,0.95097774,0.64927,0.31487,0.7653061224489796,0.7636769947757619
16,16,256,0.5,0.5,0.15,0.0005,0.001,1,128,0.002,2.805877,0.93665564,0.65755,0.3484,0.7536443148688047,0.7513171668442933
16,16,256,0.5,0.5,0.15,0.0005,0.001,1,128,0.002,2.973356,0.9925635,0.60697,0.33965,0.7536443148688047,0.7540950166188687
16,8,64,0.0,0.1,0.5,0.001,0.001,4,8,0.002,2.7779846,0.9273447,0.67141,0.33965,0.7667638483965015,0.7654747030007338
16,8,64,0.0,0.1,0.5,0.001,0.001,4,8,0.002,2.8354573,0.94653016,0.66025,0.36006,0.7638483965014577,0.7632345654768199
16,8,64,0.0,0.1,0.5,0.001,0.001,4,8,0.002,2.8929358,0.9657176,0.64179,0.33382,0.7667638483965015,0.7650756281334704
16,8,64,0.0,0.1,0.5,0.001,0.001,4,8,0.002,2.8874152,0.96387476,0.63675,0.34402,0.7551020408163265,0.7514376193827285
8,16,64,0.3,0.0,0.15,0.0005,0.0005,8,16,0.001,2.9105082,0.9715836,0.66317,0.3105,0.7696793002915452,0.7698749227115103
8,16,64,0.3,0.0,0.15,0.0005,0.0005,8,16,0.001,2.831259,0.9451287,0.6712,0.33236,0.7696793002915452,0.7692721557047606
8,16,64,0.3,0.0,0.15,0.0005,0.0005,8,16,0.001,2.8396618,0.9479338,0.658,0.3309,0.7696793002915452,0.7688725483768742
8,16,64,0.3,0.0,0.15,0.0005,0.0005,8,16,0.001,2.88882,0.96434355,0.6442,0.31487,0.7594752186588921,0.7555792846627886
8,4,64,0.2,0.2,0.5,0.003,0.0003,1,128,0.0,3.3403156,1.1150616,0.52592,0.27988,0.7201166180758017,0.7192652102786025
8,4,64,0.2,0.2,0.5,0.003,0.0003,1,128,0.0,3.073179,1.0258864,0.60127,0.30904,0.7448979591836735,0.7442896178004146
