audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
4,8,128,0.3,0.5,0,0.003,0.0005,16,16,0.001,0.98133093,0.9813309,0.65294,0.29738,0.749271137026239,0.7462909756232593
4,16,256,0.15,0.3,0,0.003,0.003,16,4,0.001,1.41203,1.41203,0.13563,0.15452,0.5787172011661808,0.5793226753466733
16,8,128,0.5,0.2,0.15,0.0005,0.0005,16,64,0.01,1.0440601,1.0440601,0.59733,0.28571,0.7551020408163265,0.7542442286538915
4,8,128,0.1,0,0.1,0.0003,0.001,1,4,0.001,0.9666184,0.9666184,0.65541,0.28426,0.7711370262390671,0.7698094277866901
4,4,64,0.15,0.2,0.1,0.001,0.001,4,32,0,1.0431504,1.0431503,0.60502,0.28571,0.7419825072886297,0.7420218565427082
16,8,128,0.2,0.2,0.5,0.003,0.0003,8,64,0.001,1.0469826,1.0469826,0.59882,0.29009,0.7594752186588921,0.7592759317699669
4,16,128,0.5,0.5,0,0.003,0.0005,8,4,0.001,0.94808847,0.9480885,0.66926,0.32362,0.7740524781341108,0.7727417917639298
8,4,64,0.5,0.15,0.1,0.003,0.0005,1,64,0.002,1.0565515,1.0565515,0.59213,0.29155,0.7419825072886297,0.7410175542914352
8,16,256,0,0.3,0,0.001,0.003,16,4,0,0.91820526,0.91820526,0.68003,0.33236,0.7755102040816326,0.7737489248572992
8,4,128,0,0.5,0.15,0.0003,0.003,1,4,0.01,1.4173146,1.4173146,nan,0.15452,0.5524781341107872,0.39321917901969644
4,4,128,0,0.1,0,0.003,0.0003,8,4,0.001,0.9634172,0.96341705,0.65821,0.30029,0.7711370262390671,0.7700536271570891
16,8,128,0.1,0,0.3,0.0003,0.0003,1,4,0.01,1.0643928,1.0643928,0.58294,0.27114,0.7448979591836735,0.7438194495587288
4,8,128,0,0.2,0.15,0.001,0.0003,4,32,0.002,1.0291945,1.0291944,0.62597,0.30466,0.7419825072886297,0.7425729767053838
16,8,256,0.5,0,0.3,0.0003,0.003,16,16,0.001,0.9134503,0.9134503,0.69117,0.34694,0.7842565597667639,0.7832903491066756
8,4,128,0.1,0,0.1,0.0003,0.0003,4,4,0.001,1.0112268,1.0112268,0.62179,0.29155,0.760932944606414,0.7592025188368071
8,16,128,0.1,0.3,0.2,0.0003,0.001,4,32,0.002,0.99306214,0.9930621,0.6439,0.30175,0.7580174927113703,0.7582830769423065
4,16,128,0.2,0,0.5,0.003,0.0005,8,32,0.002,1.0188427,1.0188426,0.61055,0.30175,0.7463556851311953,0.745219734760551
